condition,No placement,Any placement,Pre 1yr,Post 1yr
Any ID/DD/CA,152 [2 (1.7 - 2.4)],231 [6.2 (5.5 - 7)],99 [9 (7.4 - 10.9)],121 [5.2 (4.3 - 6.2)]
Autism,66 [0.9 (0.7 - 1.1)],40 [1.1 (0.8 - 1.5)],15 [1.4 (0.8 - 2.2)],24 [1 (0.7 - 1.5)]
FASD,17 [0.2 (0.1 - 0.4)],81 [2.2 (1.7 - 2.7)],44 [4 (2.9 - 5.3)],32 [1.4 (0.9 - 1.9)]
Developmental delay,74 [1 (0.8 - 1.2)],83 [2.2 (1.8 - 2.8)],30 [2.7 (1.9 - 3.9)],51 [2.2 (1.6 - 2.9)]
Any MH,374 [5 (4.5 - 5.5)],551 [14.8 (13.7 - 16)],146 [13.3 (11.3 - 15.4)],356 [15.3 (13.8 - 16.8)]
Anxiety,71 [1 (0.7 - 1.2)],71 [1.9 (1.5 - 2.4)],27 [2.5 (1.6 - 3.6)],41 [1.8 (1.3 - 2.4)]
Depression,54 [0.7 (0.5 - 0.9)],39 [1 (0.7 - 1.4)],10 [0.9 (0.4 - 1.7)],24 [1 (0.7 - 1.5)]
PTSD,40 [0.5 (0.4 - 0.7)],134 [3.6 (3 - 4.3)],23 [2.1 (1.3 - 3.1)],95 [4.1 (3.3 - 5)]
Adjustment,74 [1 (0.8 - 1.2)],112 [3 (2.5 - 3.6)],25 [2.3 (1.5 - 3.3)],76 [3.3 (2.6 - 4.1)]
Hyperkinetic,9 [0.1 (0.1 - 0.2)],39 [1 (0.7 - 1.4)],14 [1.3 (0.7 - 2.1)],22 [0.9 (0.6 - 1.4)]
Conduct,23 [0.3 (0.2 - 0.5)],35 [0.9 (0.7 - 1.3)],6 [0.5 (0.2 - 1.2)],26 [1.1 (0.7 - 1.6)]
