age_group,exposure,hospital_days,days_at_risk,inc_rate,irr
0-4,Post-placement,6950,2963954,2.34 (2.29 to 2.40),0.6 (0.5 to 0.6)
0-4,Pre-placement,15268,3654649,4.18 (4.11 to 4.24),0.6 (0.5 to 0.6)
0-1,Post-placement,2091,272007,7.69 (7.36 to 8.02),0.9 (0.9 to 1)
0-1,Pre-placement,7973,971031,8.21 (8.03 to 8.39),0.9 (0.9 to 1)
1-2,Post-placement,2095,488151,4.29 (4.11 to 4.48),0.8 (0.7 to 0.8)
1-2,Pre-placement,4794,853398,5.62 (5.46 to 5.78),0.8 (0.7 to 0.8)
2-3,Post-placement,1163,624691,1.86 (1.76 to 1.97),0.9 (0.8 to 1)
2-3,Pre-placement,1457,716467,2.03 (1.93 to 2.14),0.9 (0.8 to 1)
3-4,Post-placement,864,736847,1.17 (1.10 to 1.25),1.4 (1.3 to 1.6)
3-4,Pre-placement,500,602722,0.83 (0.76 to 0.91),1.4 (1.3 to 1.6)
4-5,Post-placement,737,835555,0.88 (0.82 to 0.95),0.8 (0.7 to 0.9)
4-5,Pre-placement,544,503012,1.08 (0.99 to 1.18),0.8 (0.7 to 0.9)
5-9,Post-placement,2750,4666650,0.59 (0.57 to 0.61),0.6 (0.6 to 0.7)
5-9,Pre-placement,1307,1394556,0.94 (0.89 to 0.99),0.6 (0.6 to 0.7)
5-6,Post-placement,772,920162,0.84 (0.78 to 0.90),0.5 (0.5 to 0.6)
5-6,Pre-placement,679,417891,1.62 (1.50 to 1.75),0.5 (0.5 to 0.6)
6-7,Post-placement,605,962895,0.63 (0.58 to 0.68),0.7 (0.6 to 0.8)
6-7,Pre-placement,298,338830,0.88 (0.78 to 0.99),0.7 (0.6 to 0.8)
7-8,Post-placement,584,958796,0.61 (0.56 to 0.66),1.5 (1.2 to 1.8)
7-8,Pre-placement,110,265879,0.41 (0.34 to 0.50),1.5 (1.2 to 1.8)
8-9,Post-placement,413,928847,0.44 (0.40 to 0.49),0.6 (0.5 to 0.8)
8-9,Pre-placement,146,208719,0.70 (0.59 to 0.82),0.6 (0.5 to 0.8)
9-10,Post-placement,376,885592,0.42 (0.38 to 0.47),0.9 (0.7 to 1.2)
9-10,Pre-placement,74,160227,0.46 (0.36 to 0.58),0.9 (0.7 to 1.2)
10-14,Post-placement,1938,3433737,0.56 (0.54 to 0.59),0.7 (0.6 to 0.9)
10-14,Pre-placement,186,246277,0.76 (0.65 to 0.87),0.7 (0.6 to 0.9)
10-11,Post-placement,459,843115,0.54 (0.50 to 0.60),1 (0.7 to 1.3)
10-11,Pre-placement,63,112064,0.56 (0.43 to 0.72),1 (0.7 to 1.3)
11-12,Post-placement,342,775476,0.44 (0.40 to 0.49),0.8 (0.6 to 1.2)
11-12,Pre-placement,39,71714,0.54 (0.39 to 0.74),0.8 (0.6 to 1.2)
12-13,Post-placement,359,693622,0.52 (0.47 to 0.57),1.9 (1.1 to 3.9)
12-13,Pre-placement,11,41141,0.27 (0.13 to 0.48),1.9 (1.1 to 3.9)
13-14,Post-placement,217,603548,0.36 (0.31 to 0.41),0.1 (0.1 to 0.1)
13-14,Pre-placement,67,16939,3.96 (3.07 to 5.02),0.1 (0.1 to 0.1)
14-15,Post-placement,561,510408,1.10 (1.01 to 1.19),0.7 (0.3 to 2)
14-15,Pre-placement,6,3921,1.53 (0.56 to 3.33),0.7 (0.3 to 2)
All ages,Post-placement,11638,11064341,1.05 (1.03 to 1.07),0.3 (0.3 to 0.3)
All ages,Pre-placement,16761,5295482,3.17 (3.12 to 3.21),0.3 (0.3 to 0.3)
